09.12.2016;1916.66;1918.27
12.12.2016;1904.31;1904.52
13.12.2016;1886.78;1919.67
14.12.2016;1917.77;1935.51
15.12.2016;1931.36;1932.39
16.12.2016;1913.05;1927.9
19.12.2016;1915.46;1929.48
20.12.2016;1929.47;1948.4
21.12.2016;1941.74;1952.86
22.12.2016;1927.7;1944.84
23.12.2016;1942.49;1955.42
27.12.2016;1933.1;1939.56
28.12.2016;1935.38;1945.77
29.12.2016;1934.69;1946.32
30.12.2016;1948.89;1957.17
02.01.2017;1947.54;1963.54
03.01.2017;1961.73;1990.4
04.01.2017;1991.97;2001.91
05.01.2017;1994.72;2007.15
09.01.2017;1999.15;2009.19
10.01.2017;2007.4;2034.03
11.01.2017;2024.89;2033.43
12.01.2017;2029.68;2044.59
13.01.2017;2023.01;2027.02
16.01.2017;2013.32;2033.73
17.01.2017;2026.4;2026.4
18.01.2017;2018.57;2021.84
19.01.2017;2005.6;2020.12
20.01.2017;2015.31;2027.35
23.01.2017;2004.04;2007.59
24.01.2017;1994.53;2013.45
25.01.2017;2015.01;2080.98
26.01.2017;2086.78;2101.66
27.01.2017;2078.43;2087.72
30.01.2017;2082.83;2088.55
31.01.2017;2052.23;2074.86
01.02.2017;2065.94;2090.58
02.02.2017;2078.01;2079.66
03.02.2017;2065.59;2076.26
06.02.2017;2078.45;2096.99
07.02.2017;2089.06;2096.61
08.02.2017;2087.15;2091.32
09.02.2017;2092.88;2138.41
10.02.2017;2144.56;2159.87
13.02.2017;2161.17;2186.24
14.02.2017;2181.34;2186.18
15.02.2017;2180.23;2191.14
16.02.2017;2185.44;2225.04
17.02.2017;2214.85;2219.09
20.02.2017;2193.39;2200.49
21.02.2017;2192.53;2248.52
22.02.2017;2252.57;2260.77
23.02.2017;2249.81;2272.01
24.02.2017;2252.39;2253.93
27.02.2017;2212.87;2223.76
28.02.2017;2214.22;2216.98
01.03.2017;2195.25;2259.6
02.03.2017;2256.56;2269.47
03.03.2017;2244.31;2248.09
06.03.2017;2232.66;2240.03
07.03.2017;2212.81;2217.31
08.03.2017;2196.62;2216.67
09.03.2017;2215.88;2215.88
10.03.2017;2195.42;2224.01
13.03.2017;2200.2;2242.55
14.03.2017;2242.95;2249.26
15.03.2017;2244.71;2246.33
16.03.2017;2246.85;2285.17
17.03.2017;2285.74;2308.92
20.03.2017;2294.85;2295.07
21.03.2017;2280.19;2301.34
22.03.2017;2230.81;2230.81
23.03.2017;2216.35;2236.92
24.03.2017;2235.16;2245.11
27.03.2017;2215.3;2215.3
28.03.2017;2209.06;2225.41
29.03.2017;2235.73;2246.31
30.03.2017;2218.61;2221.62
31.03.2017;2203.46;2206.23
03.04.2017;2188.57;2223.94
04.04.2017;2215.65;2245.98
05.04.2017;2238.79;2262.18
06.04.2017;2243.86;2254.47
07.04.2017;2250.06;2255.72
10.04.2017;2250.93;2255.25
11.04.2017;2241.61;2253.02
12.04.2017;2223.29;2238.45
13.04.2017;2216.92;2238.09
18.04.2017;2237.96;2259.53
19.04.2017;2243.91;2276.46
20.04.2017;2273.77;2291.55
21.04.2017;2287.86;2300.71
24.04.2017;2283.16;2304.25
25.04.2017;2300.42;2353.17
26.04.2017;2354.17;2387.66
27.04.2017;2378.56;2393.45
28.04.2017;2384.53;2399.24
02.05.2017;2381.68;2398.73
04.05.2017;2395.19;2422.31
05.05.2017;2367.91;2385.44
08.05.2017;2389.8;2394.29
09.05.2017;2378.66;2414.73
10.05.2017;2409.88;2419.08
11.05.2017;2381.66;2408.99
12.05.2017;2367.93;2374.62
15.05.2017;2378.39;2388.7
16.05.2017;2375.63;2380.39
17.05.2017;2330.87;2337.51
18.05.2017;2299.09;2311.2
19.05.2017;2297.16;2334.82
22.05.2017;2336.02;2346.84
23.05.2017;2339.18;2342.23
24.05.2017;2305.98;2324.99
25.05.2017;2339.54;2363.03
26.05.2017;2353.12;2354.58
29.05.2017;2326.69;2331.27
30.05.2017;2315.74;2315.74
